Index,Repository,URL,Stars,Year,Vulnerability Type,Risk Level,Has TrustedIPs,File Path
1,MizuchiLabs/mantrae,https://github.com/MizuchiLabs/mantrae,392,2024,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/MizuchiLabs_mantrae/sqlc.yml
2,Rahn-IT/traefik-gui,https://github.com/Rahn-IT/traefik-gui,135,2024,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_13_1767028255/Rahn-IT_traefik-gui/docker-compose.yaml
3,sevensolutions/traefik-oidc-auth,https://github.com/sevensolutions/traefik-oidc-auth,266,2024,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/sevensolutions_traefik-oidc-auth/taskfile.yml
4,lukaszraczylo/traefikoidc,https://github.com/lukaszraczylo/traefikoidc,102,2024,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/lukaszraczylo_traefikoidc/.goreleaser.yaml
5,Someone0nEarth/excalidraw-self-hosted,https://github.com/Someone0nEarth/excalidraw-self-hosted,115,2024,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/Someone0nEarth_excalidraw-self-hosted/docker-compose.yml
6,jcchavezs/coraza-http-wasm-traefik,https://github.com/jcchavezs/coraza-http-wasm-traefik,87,2024,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/jcchavezs_coraza-http-wasm-traefik/docker-compose.yml
7,meonkeys/shb,https://github.com/meonkeys/shb,100,2023,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/meonkeys_shb/mario/ansible/roles/services/templates/ops/nextcloud/compose.yml
8,Yann39/self-hosted,https://github.com/Yann39/self-hosted,170,2023,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/Yann39_self-hosted/apps/defrag-life/docker-compose.yml
9,ct-Open-Source/telerec-t-base,https://github.com/ct-Open-Source/telerec-t-base,55,2023,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_0_1767028255/ct-Open-Source_telerec-t-base/traefik.yml
10,11notes/docker-traefik,https://github.com/11notes/docker-traefik,156,2023,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_2_1767028255/11notes_docker-traefik/compose.yml
11,SimpleHomelab/Auto-Traefik,https://github.com/SimpleHomelab/Auto-Traefik,64,2023,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/SimpleHomelab_Auto-Traefik/compose/adminer.yml
